Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;TCR pré;TCR pós;TRFC pré;TRFC pós;Total não Individualizado;Total Exterior;
CREDIT SUISSE;30.771;b1;C;3;S3;199;SAO PAULO;SP;09/2021;11.235.987;81.566;0;0;0;831.367;0;8.813.077;0;0;0;1.269.115;0;0;0;0;0;0;0;0;240.862
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;09/2021;9.748.950;1.933.042;6.285;0;0;0;0;4.008.245;0;1.716.566;0;0;0;0;0;0;0;0;0;1.049;2.083.763
BOCOM;52.003;b1;C;3;S3;199;SALVADOR;BA;09/2021;9.648.968;616.061;0;0;0;0;0;4.886.740;0;0;0;4.444;0;22.619;457.196;0;0;0;0;0;3.661.908
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;S3;2;BELEM;PA;09/2021;9.375.026;6.683.530;398.787;51.504;0;0;518.095;1.079.812;582.480;156;5.268;0;0;0;55.381;0;0;0;0;14;0
BANCO JOHN DEERE S.A.;91.884.981;b1;I;3;S3;8;INDAIATUBA;SP;09/2021;8.472.081;7.149.174;0;4.995;28.758;776.220;114.501;0;398.434;0;0;0;0;0;0;0;0;0;0;0;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;09/2021;8.114.074;7.463.700;75.622;0;0;0;15.533;554.085;3.942;0;0;0;0;0;0;0;0;0;0;1.191;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S3;8;BELEM;PA;09/2021;8.005.843;7.816.606;160.432;0;10.445;0;434;0;0;0;0;17.876;0;0;0;0;0;0;0;50;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;S4;8;PORTO ALEGRE;RS;09/2021;7.811.144;7.261.232;0;6.989;180.147;0;0;362.705;73;0;0;0;0;0;0;0;0;0;0;0;0
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;S4;8;CURITIBA;PR;09/2021;7.460.516;6.338.245;0;106.992;0;0;0;0;1.012.546;0;2.733;0;0;0;0;0;0;0;0;0;0
NUBANK;52.058;n1;C;2;S4;197;SAO PAULO;SP;09/2021;7.166.575;7.041.731;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124.842;0
BANCO GM S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;09/2021;7.116.793;7.116.793;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;S3;8;SAO PAULO;SP;09/2021;6.492.804;6.492.804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82.639.451;b3S;I;2;S4;9;BLUMENAU;SC;09/2021;6.211.047;4.101.903;248.315;1.077;2.948;0;0;1.854.011;2.469;0;0;0;0;0;0;0;0;0;0;324;0
BANESTES;30.159;b1;C;1;S3;199;VITORIA;ES;09/2021;6.110.839;3.229.078;825.079;8.888;2.094;0;1.209;1.761.022;215.824;0;1.592;0;0;0;0;65.944;0;0;0;109;0
SCANIA BANCO S.A.;11.417.016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;09/2021;6.080.239;5.847.989;0;0;0;0;0;232.250;0;0;0;0;0;0;0;0;0;0;0;0;0
SOFISA;31.873;b1;C;2;S4;199;SAO PAULO;SP;09/2021;5.880.909;1.799.045;0;0;0;0;0;3.887.211;0;0;0;21.360;0;0;173.269;0;0;0;0;-75.023;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;09/2021;5.876.438;1.197.064;100.442;770.801;0;0;28;0;2.541.270;8.237;298.651;36.633;0;9.292;914.021;0;0;0;0;0;0
PARANÁ BANCO;30.881;b1;C;2;S4;199;CURITIBA;PR;09/2021;5.813.674;5.798.614;0;0;0;0;1.170;3.769;0;0;9.137;0;0;0;0;0;0;0;0;985;0
AGIBANK;51.956;b1;C;2;S4;199;CAMPINAS;SP;09/2021;5.470.317;5.469.305;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.012;0
BANCO FIDIS S/A;62.237.425;b2;I;3;S4;8;BETIM;MG;09/2021;5.020.985;5.005.968;0;0;0;0;0;15.017;0;0;0;0;0;0;0;0;0;0;0;0;0
OMNI;50.940;b1;C;2;S4;199;SAO PAULO;SP;09/2021;4.806.294;4.801.405;0;0;0;0;0;2.375;0;0;0;0;0;0;0;0;0;0;0;2.530;0
INDUSTRIAL DO BRASIL;50.988;b1;C;2;S4;199;SAO PAULO;SP;09/2021;4.541.199;2.094.455;0;0;0;0;41.085;14.309;1.576.438;0;691;0;0;0;769.495;0;0;0;0;58;44.668
MASTER;50.201;b1;C;2;S4;199;RIO DE JANEIRO;RJ;09/2021;4.483.716;3.877.439;0;0;0;0;9.384;539.243;0;0;57.326;0;0;0;0;0;0;0;0;323;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;S4;14;SAO PAULO;SP;09/2021;4.428.142;4.381.938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46.201;0
PINE;50.304;b1;C;2;S3;199;SAO PAULO;SP;09/2021;4.203.988;1.368.960;122.462;7.347;0;0;96.823;2.092.944;0;0;16.553;88.434;0;0;385.612;0;0;0;0;0;24.852
JP MORGAN CHASE;20.107;b1;C;3;S3;199;SAO PAULO;SP;09/2021;4.170.444;2.639.215;0;0;0;0;0;1.531.228;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26.529.420;b3S;I;2;S4;9;LUCAS DO RIO VERDE;MT;09/2021;4.077.782;2.750.842;273.457;29;77;0;302.285;631.784;117.638;0;0;0;0;1.656;0;0;0;0;0;13;0
COOPERATIVA DE CREDITO CREDICITRUS;54.037.916;b3S;I;2;S4;9;BEBEDOURO;SP;09/2021;4.016.747;2.328.708;9.512;1.002;0;0;0;1.595.956;81.562;0;0;0;0;0;0;0;0;0;0;7;0
HONDA;51.396;b2;C;3;S4;198;SAO PAULO;SP;09/2021;3.986.418;3.986.407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0
BANCO FIBRA S.A.;58.616.418;b1;I;2;S3;8;SAO PAULO;SP;09/2021;3.917.850;2.634.255;0;0;0;0;108.312;1.073.582;0;0;0;0;0;0;64.570;0;0;0;0;1;37.130
SICOOB COCRED COOPERATIVA DE CRÉDITO;71.328.769;b3S;I;2;S4;9;SERTAOZINHO;SP;09/2021;3.851.957;1.517.652;477;0;0;0;1.985;2.254.984;54.247;0;0;0;0;0;22.608;0;0;0;0;3;0
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27.351.731;n1;I;3;S4;14;PORTO ALEGRE;RS;09/2021;3.750.204;3.707.140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43.064;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78.414.067;b3S;I;2;S4;9;MEDIANEIRA;PR;09/2021;3.688.704;1.739.373;576.479;0;0;0;0;1.261.357;111.470;0;0;0;0;0;0;0;0;0;0;25;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81.099.491;b3S;I;2;S4;9;PALOTINA;PR;09/2021;3.560.394;2.389.454;44.531;0;0;0;0;1.034.446;91.836;0;0;0;0;107;0;0;0;0;0;20;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79.342.069;b3S;I;2;S4;9;MARINGA;PR;09/2021;3.508.717;2.440.843;606.058;0;52;0;0;300.396;160.171;0;0;0;0;1.152;0;0;0;0;0;45;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78.825.270;b3S;I;2;S5;9;CHAPECO;SC;09/2021;3.432.584;1.862.082;8.250;0;0;0;0;1.412.859;149.377;0;0;0;0;0;0;0;0;0;0;17;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DA AMAZÔNIA LTDA. - SICOOB CREDISUL.;3.632.872;b3S;I;2;S5;9;VILHENA;RO;09/2021;3.260.068;2.811.535;17.964;0;0;0;0;381.304;49.258;0;0;0;0;0;0;0;0;0;0;6;0
BANCO DO ESTADO DE SERGIPE S.A.;13.009.717;b1;I;1;S4;8;ARACAJU;SE;09/2021;3.198.519;2.534.911;418.878;209;0;0;0;141.431;24.794;0;874;0;0;0;77.276;0;0;0;0;147;0
CREDIT AGRICOLE;51.066;b1;C;3;S3;199;SAO PAULO;SP;09/2021;3.196.420;200.070;0;0;0;0;0;283.350;0;0;0;0;0;0;2.713.000;0;0;0;0;0;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60.518.222;b1;I;3;S3;8;SAO PAULO;SP;09/2021;3.183.778;1.436.901;0;0;0;343.102;0;1.365.606;0;0;0;0;0;0;0;0;0;0;0;0;38.169
